"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Regina","none","none","1960",108,132,147,1.03030303030303,0.343434343434343,13.4918908784818,2.39323232323232,23.8889898989899,8,3,19,8
"Regina","none","none","1970",111,134,148,1.18181818181818,0.323232323232323,13.7390308386899,2.11323232323232,24.7131313131313,10,2,24,9
"Regina","none","none","1980",109,136,155,1.13131313131313,0.242424242424242,13.4683742730334,2.26575757575758,24.1662626262626,10,2,23,8
"Regina","none","none","1990",106,131,146,1.17171717171717,0.343434343434343,13.3929943373125,2.19434343434343,23.8140404040404,10,4,19,8
"Regina","none","none","2000",100,122,135,1.87878787878788,0.424242424242424,13.3702846648301,0.861616161616162,25.5285858585859,15,4,43,11
"Regina","none","none","2010",102,121,136,2.80808080808081,0.676767676767677,13.2552877257423,0.225151515151515,25.9726262626263,24,5,48,16
"Regina","none","none","2020",96,120,136,3.47474747474747,0.848484848484849,12.7835950413223,-0.198181818181818,25.3958585858586,32,6,50,21
"Regina","ACCESS-CM2","SSP1","2050",81,109,127,2.62626262626263,0.858585858585859,12.9051147842057,0.854141414141414,25.4077777777778,17,5,38,12
"Regina","AWI-CM-1-1-MR","SSP1","2050",88,113,131,2.12121212121212,0.636363636363636,13.3116555708601,1.22939393939394,25.3312121212121,15,6,33,12
"Regina","CIESM","SSP1","2050",95,113,129,4.77777777777778,1.76767676767677,13.5680524946434,-0.575252525252525,27.5476767676768,29,13,52,29
"Regina","CMCC-ESM2","SSP1","2050",83,111,130,3.17171717171717,1.1010101010101,12.8128772574227,0.538181818181818,25.1706060606061,18,8,42,16
"Regina","CNRM-CM6-1-HR","SSP1","2050",74,108,126,3.27272727272727,1.16161616161616,12.4227525252525,0.401212121212121,24.7479797979798,24,9,42,17
"Regina","CNRM-ESM2-1","SSP1","2050",96,117,133,2.61616161616162,0.797979797979798,13.3891838842975,0.521111111111111,25.8873737373737,19,7,44,16
"Regina","EC-Earth3-Veg-LR","SSP1","2050",90,113,130,2.71717171717172,0.919191919191919,13.3712832874196,0.607171717171717,26.090202020202,20,9,39,18
"Regina","FGOALS-g3","SSP1","2050",93,116,132,3.12121212121212,1.05050505050505,13.2356301652893,0.52959595959596,25.879696969697,18,6,43,17
"Regina","FIO-ESM-2-0","SSP1","2050",81,107,127,2.49494949494949,0.686868686868687,12.6012649219467,0.755050505050505,24.9463636363636,16,5,38,10
"Regina","GFDL-ESM4","SSP1","2050",89,112,128,2.81818181818182,0.95959595959596,13.2930406336088,0.431717171717172,26.1418181818182,19,9,40,17
"Regina","HadGEM3-GC31-LL","SSP1","2050",91,114,131,2.73737373737374,0.787878787878788,13.2316789103153,0.836262626262626,25.7065656565657,15,7,39,12
"Regina","HadGEM3-GC31-MM","SSP1","2050",89,111,129,2.63636363636364,0.939393939393939,13.1926867156413,0.881818181818182,25.5376767676768,18,8,34,14
"Regina","INM-CM4-8","SSP1","2050",93,115,130,2.61616161616162,0.747474747474748,13.5537974441384,1.09191919191919,26.2950505050505,16,7,34,11
"Regina","INM-CM5-0","SSP1","2050",85,112,131,4.39393939393939,1.67676767676768,12.3993177992042,-0.250909090909091,24.9689898989899,26,11,50,21
"Regina","IPSL-CM6A-LR","SSP1","2050",87,113,130,2.37373737373737,0.848484848484849,13.1520274716866,0.868080808080808,25.5108080808081,17,8,33,13
"Regina","MIROC6","SSP1","2050",85,108,127,2.75757575757576,0.929292929292929,12.7853764921947,0.536464646464646,25.549696969697,17,6,41,14
"Regina","MPI-ESM1-2-LR","SSP1","2050",86,114,131,2.97979797979798,1.01010101010101,12.8701465411693,0.411818181818182,25.3340404040404,21,9,44,19
"Regina","MRI-ESM2-0","SSP1","2050",95,117,132,3.14141414141414,1.01010101010101,13.3918411386593,0.292323232323232,26.2824242424242,21,7,49,19
"Regina","NESM3","SSP1","2050",90,111,129,2.27272727272727,0.767676767676768,13.2966261095807,1.06252525252525,25.5993939393939,17,7,34,13
"Regina","ACCESS-CM2","SSP2","2050",76,104,126,2.16161616161616,0.636363636363636,12.8650183654729,0.745858585858586,25.1979797979798,13,6,35,11
"Regina","AWI-CM-1-1-MR","SSP2","2050",87,110,128,2.03030303030303,0.737373737373737,13.4478064738292,1.15747474747475,25.8193939393939,16,7,31,13
"Regina","CIESM","SSP2","2050",90,111,127,3.58585858585859,1.26262626262626,13.323386134068,-0.156464646464646,27.0523232323232,26,9,47,23
"Regina","CMCC-ESM2","SSP2","2050",85,110,130,3.37373737373737,1.16161616161616,12.6475072696664,0.397373737373737,25.1052525252525,21,7,43,19
"Regina","CNRM-CM6-1-HR","SSP2","2050",73,105,126,2.98989898989899,0.858585858585859,12.3281485307622,0.430606060606061,24.7864646464646,22,5,44,15
"Regina","CNRM-ESM2-1","SSP2","2050",94,119,134,2.73737373737374,0.797979797979798,13.2191020048975,0.394545454545455,25.6031313131313,21,5,45,17
